norec,mean_SI,std_SI,week_count,min_SI,max_SI,deviation_from_overall,uniformity
225,0.7469,0.2042,16,0.4409,1.0,0.08566620593692031,0.897105833354698
241,0.7586,0.1831,17,0.5362,1.0,0.07396620593692027,0.9111587698257785
297,0.8039,0.1754,17,0.529,1.0,0.028666205936920375,0.9655688571881667
298,0.749,0.192,17,0.5132,1.0,0.08356620593692032,0.8996281552854047
302,0.748,0.151,17,0.5798,1.0,0.08456620593692032,0.8984270496041158
303,0.7845,0.1569,16,0.6073,1.0,0.04806620593692035,0.9422674069711615
307,0.7164,0.2054,16,0.469,1.0,0.11616620593692029,0.8604721100753858
349,0.7772,0.1844,16,0.5378,1.0,0.05536620593692032,0.9334993354977524
380,0.7956,0.1576,17,0.6299,1.0,0.03696620593692035,0.9555996800334686
387,0.8133,0.1526,16,0.6173,1.0,0.0192662059369203,0.9768592505922826
388,0.813,0.1509,16,0.6281,1.0,0.019566205936920378,0.9764989188878959
432,0.7746,0.1722,17,0.5873,1.0,0.05796620593692037,0.9303764607264011
458,0.7542,0.1632,17,0.5647,1.0,0.07836620593692034,0.9058739048281071
469,0.7186,0.1767,16,0.5219,1.0,0.1139662059369203,0.8631145425742215
470,0.8739,0.1507,16,0.6328,1.0,0.04133379406307969,0.9503537451216085
472,0.7656,0.1642,16,0.5836,1.0,0.06696620593692038,0.9195665095948008
473,0.7664,0.1914,17,0.5129,1.0,0.06616620593692035,0.920527394139832
484,0.8035,0.1745,16,0.6029,1.0,0.02906620593692033,0.9650884149156511
487,0.8689,0.1496,17,0.6267,1.0,0.03633379406307968,0.9563592735280532
488,0.7922,0.1974,16,0.5267,1.0,0.04036620593692031,0.9515159207170862
489,0.7053,0.1924,16,0.5265,1.0,0.12726620593692028,0.8471398370130787
490,0.7505,0.1758,17,0.5541,1.0,0.08206620593692038,0.901429813807338
491,0.7374,0.1633,17,0.5508,1.0,0.09516620593692027,0.8856953293824532
497,0.8231,0.1561,17,0.5538,1.0,0.009466205936920269,0.9886300862689141
498,0.724,0.1914,17,0.5261,1.0,0.10856620593692035,0.8696005132531816
503,0.761,0.1907,17,0.4749,1.0,0.07156620593692031,0.9140414234608718
504,0.8493,0.1638,17,0.5759,1.0,0.016733794063079732,0.9799009448813161
512,0.7874,0.1929,17,0.4681,1.0,0.045166205936920334,0.9457506134468994
514,0.69,0.1676,17,0.5373,1.0,0.14256620593692038,0.828762920089358
515,0.8751,0.1563,17,0.5666,1.0,0.042533794063079666,0.9489124183040619
536,0.8962,0.1474,16,0.5663,1.0,0.06363379406307967,0.9235690884288655
541,0.7936,0.1613,16,0.5435,0.9987,0.03896620593692035,0.9531974686708907
546,0.837,0.1615,17,0.5264,1.0,0.0044337940630796435,0.9946745447611699
552,0.8648,0.1448,17,0.5988,1.0,0.03223379406307969,0.9612838068213377
560,0.8507,0.1677,17,0.5699,1.0,0.01813379406307969,0.9782193969275116
562,0.8455,0.1676,17,0.5785,1.0,0.012933794063079707,0.984465146470214
565,0.9017,0.1333,16,0.6295,1.0,0.06913379406307962,0.9169630071817765
566,0.8296,0.1889,17,0.5208,1.0,0.0029662059369203186,0.996437273197292
569,0.8965,0.1466,16,0.5785,1.0,0.06393379406307964,0.9232087567244789
570,0.8575,0.1695,17,0.5284,1.0,0.024933794063079717,0.9700518782947469
597,0.8113,0.1693,16,0.5354,0.9817,0.0212662059369203,0.9744570392297047
598,0.8414,0.1519,16,0.5515,0.9918,0.008833794063079714,0.9893896797634986
601,0.8015,0.1851,16,0.4839,0.9914,0.031066205936920332,0.9626862035530732
602,0.8856,0.139,17,0.5677,1.0,0.05303379406307973,0.9363008086505281
606,0.8622,0.1464,17,0.5592,1.0,0.029633794063079644,0.964406681592689
608,0.8949,0.1389,16,0.5831,1.0,0.062333794063079706,0.9251305258145411
609,0.8611,0.1458,16,0.5632,1.0,0.028533794063079654,0.9657278978421069
627,0.8634,0.1777,17,0.5446,1.0,0.030833794063079623,0.9629653547751423
638,0.8449,0.1921,16,0.5231,1.0,0.012333794063079662,0.9851858098789874
642,0.827,0.2097,16,0.4789,1.0,0.005566205936920365,0.9933143984259408
643,0.831,0.2165,17,0.4698,1.0,0.0015662059369203618,0.9981188211510965
645,0.8045,0.2233,17,0.4523,1.0,0.02806620593692033,0.9662895205969401
646,0.821,0.2043,17,0.5067,1.0,0.01156620593692037,0.9861077643382072
653,0.8087,0.2445,16,0.4383,1.0,0.02386620593692035,0.9713341644583535
654,0.8508,0.2041,16,0.4775,1.0,0.018233794063079678,0.9780992863593827
655,0.8185,0.2226,16,0.4551,1.0,0.014066205936920317,0.983105000134985
659,0.8708,0.1717,17,0.4977,1.0,0.038233794063079696,0.9540771727336043
