tanggal;lintang;bujur;paddy
6/10/2024;-6.929671;109.687354;1
6/11/2024;-6.95979;110.194669;1
6/15/2024;-7.123683;110.400572;1
3/16/2024;-6.147802;107.338155;1
6/11/2024;-7.42583;109.295163;1
3/19/2024;-6.404416;108.323012;1
6/12/2024;-6.852364;110.797436;1
6/11/2024;-7.4269;109.41306;1
6/11/2024;-6.974819;110.171592;1
4/27/2024;-6.212535;107.342918;1
6/27/2024;-6.870406;109.391662;1
6/25/2024;-7.869639;110.195791;1
6/15/2024;-7.160156;110.403805;1
6/12/2024;-7.715786;109.488105;1
6/12/2024;-7.716486;109.48898;1
6/27/2024;-6.895592;109.428752;1
3/20/2024;-6.365959;107.632966;1
3/18/2024;-6.261304;107.462767;1
6/28/2024;-6.97024;109.093643;1
6/10/2024;-6.920473;109.682883;1
6/24/2024;-7.781375;109.949089;1
6/15/2024;-7.159978;110.404712;1
6/24/2024;-7.846678;110.315153;1
6/12/2024;-6.851849;110.797185;1
6/11/2024;-6.97475;110.169951;1
6/12/2024;-7.594934;109.450468;1
6/26/2024;-6.901861;109.754642;1
6/28/2024;-6.9935;109.052379;1
6/24/2024;-6.65413;110.664436;1
6/10/2024;-6.929288;109.68875;1
4/28/2024;-6.33649;107.599915;1
4/27/2024;-6.292146;107.360894;1
6/27/2024;-6.894288;109.43005;1
6/24/2024;-6.763705;110.766249;1
4/27/2024;-6.234227;107.467787;1
4/29/2024;-6.384236;108.277214;1
6/25/2024;-7.870048;110.196145;1
4/28/2024;-6.356024;107.640486;1
3/20/2024;-6.436894;107.88445;1
6/27/2024;-7.41157;109.880582;1
6/11/2024;-6.90478;110.184674;1
4/27/2024;-6.26055;107.461674;1
6/11/2024;-7.503606;109.37499;1
2024-08-15;-6.236348152508054;106.22396166896756;0
6/11/2024;-6.97523;110.171026;1
6/26/2024;-6.908057;109.75049;1
6/11/2024;-7.427104;109.295332;1
3/19/2024;-6.402413;108.32365;1
6/10/2024;-6.928617;109.687066;1
6/27/2024;-6.873866;109.382662;1
4/27/2024;-6.211259;107.344299;1
6/27/2024;-6.872103;109.39086;1
6/13/2024;-6.811528;110.909623;1
6/12/2024;-7.748815;109.673729;1
3/16/2024;-6.148182;107.339303;1
4/29/2024;-6.479617;108.080458;1
3/18/2024;-6.332247;107.401586;1
6/24/2024;-6.655201;110.664134;1
6/15/2024;-7.160685;110.404492;1
6/12/2024;-7.724908;109.52393;1
6/11/2024;-6.90598;110.184375;1
3/19/2024;-6.405285;108.325021;1
3/19/2024;-6.400468;108.324729;1
3/16/2024;-6.149946;107.349245;1
6/27/2024;-6.873592;109.382057;1
6/12/2024;-7.595471;109.448526;1
6/12/2024;-7.638326;109.559415;1
6/27/2024;-6.871913;109.390811;1
2024-05-20;-6.116007524928282;107.0636201403162;0
6/12/2024;-7.048084;110.536039;1
6/12/2024;-7.731478;109.725963;1
6/27/2024;-7.388098;109.674191;1
6/27/2024;-6.874141;109.380825;1
6/27/2024;-7.410768;109.881237;1
6/11/2024;-7.434702;109.352207;1
6/12/2024;-7.724452;109.523383;1
6/12/2024;-7.72586;109.523371;1
6/27/2024;-6.874878;109.381457;1
6/24/2024;-6.71564;110.707536;1
4/29/2024;-6.4053;108.324536;1
6/13/2024;-6.866322;110.87019;1
6/11/2024;-7.426736;109.413255;1
